full_date,date_key,year,quarter,month,month_name,day,day_of_week,day_name,week_of_year,is_weekend
2011-02-10,20110210,2011,1,2,February,10,4,Thursday,6,False
2011-02-11,20110211,2011,1,2,February,11,5,Friday,6,False
2011-02-12,20110212,2011,1,2,February,12,6,Saturday,6,True
2011-02-13,20110213,2011,1,2,February,13,7,Sunday,6,True
2011-02-14,20110214,2011,1,2,February,14,1,Monday,7,False
2011-02-15,20110215,2011,1,2,February,15,2,Tuesday,7,False
2011-02-16,20110216,2011,1,2,February,16,3,Wednesday,7,False
2011-02-17,20110217,2011,1,2,February,17,4,Thursday,7,False
2011-02-18,20110218,2011,1,2,February,18,5,Friday,7,False
2011-02-19,20110219,2011,1,2,February,19,6,Saturday,7,True
2011-02-20,20110220,2011,1,2,February,20,7,Sunday,7,True
2011-02-21,20110221,2011,1,2,February,21,1,Monday,8,False
2011-02-22,20110222,2011,1,2,February,22,2,Tuesday,8,False
2011-02-23,20110223,2011,1,2,February,23,3,Wednesday,8,False
2011-02-24,20110224,2011,1,2,February,24,4,Thursday,8,False
2011-02-25,20110225,2011,1,2,February,25,5,Friday,8,False
2011-02-26,20110226,2011,1,2,February,26,6,Saturday,8,True
2011-02-27,20110227,2011,1,2,February,27,7,Sunday,8,True
2011-02-28,20110228,2011,1,2,February,28,1,Monday,9,False
2011-03-01,20110301,2011,1,3,March,1,2,Tuesday,9,False
2011-03-02,20110302,2011,1,3,March,2,3,Wednesday,9,False
2011-03-03,20110303,2011,1,3,March,3,4,Thursday,9,False
2011-03-04,20110304,2011,1,3,March,4,5,Friday,9,False
2011-03-05,20110305,2011,1,3,March,5,6,Saturday,9,True
2011-03-06,20110306,2011,1,3,March,6,7,Sunday,9,True
2011-03-07,20110307,2011,1,3,March,7,1,Monday,10,False
2011-03-08,20110308,2011,1,3,March,8,2,Tuesday,10,False
2011-03-09,20110309,2011,1,3,March,9,3,Wednesday,10,False
2011-03-10,20110310,2011,1,3,March,10,4,Thursday,10,False
2011-03-11,20110311,2011,1,3,March,11,5,Friday,10,False
2011-03-12,20110312,2011,1,3,March,12,6,Saturday,10,True
2011-03-13,20110313,2011,1,3,March,13,7,Sunday,10,True
2011-03-14,20110314,2011,1,3,March,14,1,Monday,11,False
2011-03-15,20110315,2011,1,3,March,15,2,Tuesday,11,False
2011-03-16,20110316,2011,1,3,March,16,3,Wednesday,11,False
2011-03-17,20110317,2011,1,3,March,17,4,Thursday,11,False
2011-03-18,20110318,2011,1,3,March,18,5,Friday,11,False
2011-03-19,20110319,2011,1,3,March,19,6,Saturday,11,True
2011-03-20,20110320,2011,1,3,March,20,7,Sunday,11,True
2011-03-21,20110321,2011,1,3,March,21,1,Monday,12,False
2011-03-22,20110322,2011,1,3,March,22,2,Tuesday,12,False
2011-03-23,20110323,2011,1,3,March,23,3,Wednesday,12,False
2011-03-24,20110324,2011,1,3,March,24,4,Thursday,12,False
2011-03-25,20110325,2011,1,3,March,25,5,Friday,12,False
2011-03-26,20110326,2011,1,3,March,26,6,Saturday,12,True
2011-03-27,20110327,2011,1,3,March,27,7,Sunday,12,True
2011-03-28,20110328,2011,1,3,March,28,1,Monday,13,False
2011-03-29,20110329,2011,1,3,March,29,2,Tuesday,13,False
2011-03-30,20110330,2011,1,3,March,30,3,Wednesday,13,False
2011-03-31,20110331,2011,1,3,March,31,4,Thursday,13,False
2011-04-01,20110401,2011,2,4,April,1,5,Friday,13,False
2011-04-02,20110402,2011,2,4,April,2,6,Saturday,13,True
2011-04-03,20110403,2011,2,4,April,3,7,Sunday,13,True
2011-04-04,20110404,2011,2,4,April,4,1,Monday,14,False
2011-04-05,20110405,2011,2,4,April,5,2,Tuesday,14,False
2011-04-06,20110406,2011,2,4,April,6,3,Wednesday,14,False
2011-04-07,20110407,2011,2,4,April,7,4,Thursday,14,False
2011-04-08,20110408,2011,2,4,April,8,5,Friday,14,False
2011-04-09,20110409,2011,2,4,April,9,6,Saturday,14,True
2011-04-10,20110410,2011,2,4,April,10,7,Sunday,14,True
2011-04-11,20110411,2011,2,4,April,11,1,Monday,15,False
2011-04-12,20110412,2011,2,4,April,12,2,Tuesday,15,False
2011-04-13,20110413,2011,2,4,April,13,3,Wednesday,15,False
2011-04-14,20110414,2011,2,4,April,14,4,Thursday,15,False
2011-04-15,20110415,2011,2,4,April,15,5,Friday,15,False
2011-04-16,20110416,2011,2,4,April,16,6,Saturday,15,True
2011-04-17,20110417,2011,2,4,April,17,7,Sunday,15,True
2011-04-18,20110418,2011,2,4,April,18,1,Monday,16,False
2011-04-19,20110419,2011,2,4,April,19,2,Tuesday,16,False
2011-04-20,20110420,2011,2,4,April,20,3,Wednesday,16,False
2011-04-21,20110421,2011,2,4,April,21,4,Thursday,16,False
2011-04-22,20110422,2011,2,4,April,22,5,Friday,16,False
2011-04-23,20110423,2011,2,4,April,23,6,Saturday,16,True
2011-04-24,20110424,2011,2,4,April,24,7,Sunday,16,True
2011-04-25,20110425,2011,2,4,April,25,1,Monday,17,False
2011-04-26,20110426,2011,2,4,April,26,2,Tuesday,17,False
2011-04-27,20110427,2011,2,4,April,27,3,Wednesday,17,False
2011-04-28,20110428,2011,2,4,April,28,4,Thursday,17,False
2011-04-29,20110429,2011,2,4,April,29,5,Friday,17,False
2011-04-30,20110430,2011,2,4,April,30,6,Saturday,17,True
2011-05-01,20110501,2011,2,5,May,1,7,Sunday,17,True
2011-05-02,20110502,2011,2,5,May,2,1,Monday,18,False
2011-05-03,20110503,2011,2,5,May,3,2,Tuesday,18,False
2011-05-04,20110504,2011,2,5,May,4,3,Wednesday,18,False
2011-05-05,20110505,2011,2,5,May,5,4,Thursday,18,False
2011-05-06,20110506,2011,2,5,May,6,5,Friday,18,False
2011-05-07,20110507,2011,2,5,May,7,6,Saturday,18,True
2011-05-08,20110508,2011,2,5,May,8,7,Sunday,18,True
2011-05-09,20110509,2011,2,5,May,9,1,Monday,19,False
2011-05-10,20110510,2011,2,5,May,10,2,Tuesday,19,False
2011-05-11,20110511,2011,2,5,May,11,3,Wednesday,19,False
2011-05-12,20110512,2011,2,5,May,12,4,Thursday,19,False
2011-05-13,20110513,2011,2,5,May,13,5,Friday,19,False
2011-05-14,20110514,2011,2,5,May,14,6,Saturday,19,True
2011-05-15,20110515,2011,2,5,May,15,7,Sunday,19,True
2011-05-16,20110516,2011,2,5,May,16,1,Monday,20,False
2011-05-17,20110517,2011,2,5,May,17,2,Tuesday,20,False
2011-05-18,20110518,2011,2,5,May,18,3,Wednesday,20,False
2011-05-19,20110519,2011,2,5,May,19,4,Thursday,20,False
2011-05-20,20110520,2011,2,5,May,20,5,Friday,20,False
2011-05-21,20110521,2011,2,5,May,21,6,Saturday,20,True
2011-05-22,20110522,2011,2,5,May,22,7,Sunday,20,True
2011-05-23,20110523,2011,2,5,May,23,1,Monday,21,False
2011-05-24,20110524,2011,2,5,May,24,2,Tuesday,21,False
2011-05-25,20110525,2011,2,5,May,25,3,Wednesday,21,False
2011-05-26,20110526,2011,2,5,May,26,4,Thursday,21,False
2011-05-27,20110527,2011,2,5,May,27,5,Friday,21,False
2011-05-28,20110528,2011,2,5,May,28,6,Saturday,21,True
2011-05-29,20110529,2011,2,5,May,29,7,Sunday,21,True
2011-05-30,20110530,2011,2,5,May,30,1,Monday,22,False
2011-05-31,20110531,2011,2,5,May,31,2,Tuesday,22,False
2011-06-01,20110601,2011,2,6,June,1,3,Wednesday,22,False
2011-06-02,20110602,2011,2,6,June,2,4,Thursday,22,False
2011-06-03,20110603,2011,2,6,June,3,5,Friday,22,False
2011-06-04,20110604,2011,2,6,June,4,6,Saturday,22,True
2011-06-05,20110605,2011,2,6,June,5,7,Sunday,22,True
2011-06-06,20110606,2011,2,6,June,6,1,Monday,23,False
2011-06-07,20110607,2011,2,6,June,7,2,Tuesday,23,False
2011-06-08,20110608,2011,2,6,June,8,3,Wednesday,23,False
2011-06-09,20110609,2011,2,6,June,9,4,Thursday,23,False
2011-06-10,20110610,2011,2,6,June,10,5,Friday,23,False
2011-06-11,20110611,2011,2,6,June,11,6,Saturday,23,True
2011-06-12,20110612,2011,2,6,June,12,7,Sunday,23,True
2011-06-13,20110613,2011,2,6,June,13,1,Monday,24,False
2011-06-14,20110614,2011,2,6,June,14,2,Tuesday,24,False
2011-06-15,20110615,2011,2,6,June,15,3,Wednesday,24,False
2011-06-16,20110616,2011,2,6,June,16,4,Thursday,24,False
2011-06-17,20110617,2011,2,6,June,17,5,Friday,24,False
2011-06-18,20110618,2011,2,6,June,18,6,Saturday,24,True
2011-06-19,20110619,2011,2,6,June,19,7,Sunday,24,True
2011-06-20,20110620,2011,2,6,June,20,1,Monday,25,False
2011-06-21,20110621,2011,2,6,June,21,2,Tuesday,25,False
2011-06-22,20110622,2011,2,6,June,22,3,Wednesday,25,False
2011-06-23,20110623,2011,2,6,June,23,4,Thursday,25,False
2011-06-24,20110624,2011,2,6,June,24,5,Friday,25,False
2011-06-25,20110625,2011,2,6,June,25,6,Saturday,25,True
2011-06-26,20110626,2011,2,6,June,26,7,Sunday,25,True
2011-06-27,20110627,2011,2,6,June,27,1,Monday,26,False
2011-06-28,20110628,2011,2,6,June,28,2,Tuesday,26,False
2011-06-29,20110629,2011,2,6,June,29,3,Wednesday,26,False
2011-06-30,20110630,2011,2,6,June,30,4,Thursday,26,False
2011-07-01,20110701,2011,3,7,July,1,5,Friday,26,False
2011-07-02,20110702,2011,3,7,July,2,6,Saturday,26,True
2011-07-03,20110703,2011,3,7,July,3,7,Sunday,26,True
2011-07-04,20110704,2011,3,7,July,4,1,Monday,27,False
2011-07-05,20110705,2011,3,7,July,5,2,Tuesday,27,False
2011-07-06,20110706,2011,3,7,July,6,3,Wednesday,27,False
2011-07-07,20110707,2011,3,7,July,7,4,Thursday,27,False
2011-07-08,20110708,2011,3,7,July,8,5,Friday,27,False
2011-07-09,20110709,2011,3,7,July,9,6,Saturday,27,True
2011-07-10,20110710,2011,3,7,July,10,7,Sunday,27,True
2011-07-11,20110711,2011,3,7,July,11,1,Monday,28,False
2011-07-12,20110712,2011,3,7,July,12,2,Tuesday,28,False
2011-07-13,20110713,2011,3,7,July,13,3,Wednesday,28,False
2011-07-14,20110714,2011,3,7,July,14,4,Thursday,28,False
2011-07-15,20110715,2011,3,7,July,15,5,Friday,28,False
2011-07-16,20110716,2011,3,7,July,16,6,Saturday,28,True
2011-07-17,20110717,2011,3,7,July,17,7,Sunday,28,True
2011-07-18,20110718,2011,3,7,July,18,1,Monday,29,False
2011-07-19,20110719,2011,3,7,July,19,2,Tuesday,29,False
2011-07-20,20110720,2011,3,7,July,20,3,Wednesday,29,False
2011-07-21,20110721,2011,3,7,July,21,4,Thursday,29,False
2011-07-22,20110722,2011,3,7,July,22,5,Friday,29,False
2011-07-23,20110723,2011,3,7,July,23,6,Saturday,29,True
2011-07-24,20110724,2011,3,7,July,24,7,Sunday,29,True
2011-07-25,20110725,2011,3,7,July,25,1,Monday,30,False
2011-07-26,20110726,2011,3,7,July,26,2,Tuesday,30,False
2011-07-27,20110727,2011,3,7,July,27,3,Wednesday,30,False
2011-07-28,20110728,2011,3,7,July,28,4,Thursday,30,False
2011-07-29,20110729,2011,3,7,July,29,5,Friday,30,False
2011-07-30,20110730,2011,3,7,July,30,6,Saturday,30,True
2011-07-31,20110731,2011,3,7,July,31,7,Sunday,30,True
2011-08-01,20110801,2011,3,8,August,1,1,Monday,31,False
2011-08-02,20110802,2011,3,8,August,2,2,Tuesday,31,False
2011-08-03,20110803,2011,3,8,August,3,3,Wednesday,31,False
2011-08-04,20110804,2011,3,8,August,4,4,Thursday,31,False
2011-08-05,20110805,2011,3,8,August,5,5,Friday,31,False
2011-08-06,20110806,2011,3,8,August,6,6,Saturday,31,True
2011-08-07,20110807,2011,3,8,August,7,7,Sunday,31,True
2011-08-08,20110808,2011,3,8,August,8,1,Monday,32,False
2011-08-09,20110809,2011,3,8,August,9,2,Tuesday,32,False
2011-08-10,20110810,2011,3,8,August,10,3,Wednesday,32,False
2011-08-11,20110811,2011,3,8,August,11,4,Thursday,32,False
2011-08-12,20110812,2011,3,8,August,12,5,Friday,32,False
2011-08-13,20110813,2011,3,8,August,13,6,Saturday,32,True
2011-08-14,20110814,2011,3,8,August,14,7,Sunday,32,True
2011-08-15,20110815,2011,3,8,August,15,1,Monday,33,False
2011-08-16,20110816,2011,3,8,August,16,2,Tuesday,33,False
2011-08-17,20110817,2011,3,8,August,17,3,Wednesday,33,False
2011-08-18,20110818,2011,3,8,August,18,4,Thursday,33,False
2011-08-19,20110819,2011,3,8,August,19,5,Friday,33,False
2011-08-20,20110820,2011,3,8,August,20,6,Saturday,33,True
2011-08-21,20110821,2011,3,8,August,21,7,Sunday,33,True
2011-08-22,20110822,2011,3,8,August,22,1,Monday,34,False
2011-08-23,20110823,2011,3,8,August,23,2,Tuesday,34,False
2011-08-24,20110824,2011,3,8,August,24,3,Wednesday,34,False
2011-08-25,20110825,2011,3,8,August,25,4,Thursday,34,False
2011-08-26,20110826,2011,3,8,August,26,5,Friday,34,False
2011-08-27,20110827,2011,3,8,August,27,6,Saturday,34,True
2011-08-28,20110828,2011,3,8,August,28,7,Sunday,34,True
2011-08-29,20110829,2011,3,8,August,29,1,Monday,35,False
2011-08-30,20110830,2011,3,8,August,30,2,Tuesday,35,False
2011-08-31,20110831,2011,3,8,August,31,3,Wednesday,35,False
2011-09-01,20110901,2011,3,9,September,1,4,Thursday,35,False
2011-09-02,20110902,2011,3,9,September,2,5,Friday,35,False
2011-09-03,20110903,2011,3,9,September,3,6,Saturday,35,True
2011-09-04,20110904,2011,3,9,September,4,7,Sunday,35,True
2011-09-05,20110905,2011,3,9,September,5,1,Monday,36,False
2011-09-06,20110906,2011,3,9,September,6,2,Tuesday,36,False
2011-09-07,20110907,2011,3,9,September,7,3,Wednesday,36,False
2011-09-08,20110908,2011,3,9,September,8,4,Thursday,36,False
2011-09-09,20110909,2011,3,9,September,9,5,Friday,36,False
2011-09-10,20110910,2011,3,9,September,10,6,Saturday,36,True
2011-09-11,20110911,2011,3,9,September,11,7,Sunday,36,True
2011-09-12,20110912,2011,3,9,September,12,1,Monday,37,False
2011-09-13,20110913,2011,3,9,September,13,2,Tuesday,37,False
2011-09-14,20110914,2011,3,9,September,14,3,Wednesday,37,False
2011-09-15,20110915,2011,3,9,September,15,4,Thursday,37,False
2011-09-16,20110916,2011,3,9,September,16,5,Friday,37,False
2011-09-17,20110917,2011,3,9,September,17,6,Saturday,37,True
2011-09-18,20110918,2011,3,9,September,18,7,Sunday,37,True
2011-09-19,20110919,2011,3,9,September,19,1,Monday,38,False
2011-09-20,20110920,2011,3,9,September,20,2,Tuesday,38,False
2011-09-21,20110921,2011,3,9,September,21,3,Wednesday,38,False
2011-09-22,20110922,2011,3,9,September,22,4,Thursday,38,False
2011-09-23,20110923,2011,3,9,September,23,5,Friday,38,False
2011-09-24,20110924,2011,3,9,September,24,6,Saturday,38,True
2011-09-25,20110925,2011,3,9,September,25,7,Sunday,38,True
2011-09-26,20110926,2011,3,9,September,26,1,Monday,39,False
2011-09-27,20110927,2011,3,9,September,27,2,Tuesday,39,False
2011-09-28,20110928,2011,3,9,September,28,3,Wednesday,39,False
2011-09-29,20110929,2011,3,9,September,29,4,Thursday,39,False
2011-09-30,20110930,2011,3,9,September,30,5,Friday,39,False
2011-10-01,20111001,2011,4,10,October,1,6,Saturday,39,True
2011-10-02,20111002,2011,4,10,October,2,7,Sunday,39,True
2011-10-03,20111003,2011,4,10,October,3,1,Monday,40,False
2011-10-04,20111004,2011,4,10,October,4,2,Tuesday,40,False
2011-10-05,20111005,2011,4,10,October,5,3,Wednesday,40,False
2011-10-06,20111006,2011,4,10,October,6,4,Thursday,40,False
2011-10-07,20111007,2011,4,10,October,7,5,Friday,40,False
2011-10-08,20111008,2011,4,10,October,8,6,Saturday,40,True
2011-10-09,20111009,2011,4,10,October,9,7,Sunday,40,True
2011-10-10,20111010,2011,4,10,October,10,1,Monday,41,False
2011-10-11,20111011,2011,4,10,October,11,2,Tuesday,41,False
2011-10-12,20111012,2011,4,10,October,12,3,Wednesday,41,False
2011-10-13,20111013,2011,4,10,October,13,4,Thursday,41,False
2011-10-14,20111014,2011,4,10,October,14,5,Friday,41,False
2011-10-15,20111015,2011,4,10,October,15,6,Saturday,41,True
2011-10-16,20111016,2011,4,10,October,16,7,Sunday,41,True
2011-10-17,20111017,2011,4,10,October,17,1,Monday,42,False
2011-10-18,20111018,2011,4,10,October,18,2,Tuesday,42,False
2011-10-19,20111019,2011,4,10,October,19,3,Wednesday,42,False
2011-10-20,20111020,2011,4,10,October,20,4,Thursday,42,False
2011-10-21,20111021,2011,4,10,October,21,5,Friday,42,False
2011-10-22,20111022,2011,4,10,October,22,6,Saturday,42,True
2011-10-23,20111023,2011,4,10,October,23,7,Sunday,42,True
2011-10-24,20111024,2011,4,10,October,24,1,Monday,43,False
2011-10-25,20111025,2011,4,10,October,25,2,Tuesday,43,False
2011-10-26,20111026,2011,4,10,October,26,3,Wednesday,43,False
2011-10-27,20111027,2011,4,10,October,27,4,Thursday,43,False
2011-10-28,20111028,2011,4,10,October,28,5,Friday,43,False
2011-10-29,20111029,2011,4,10,October,29,6,Saturday,43,True
2011-10-30,20111030,2011,4,10,October,30,7,Sunday,43,True
2011-10-31,20111031,2011,4,10,October,31,1,Monday,44,False
2011-11-01,20111101,2011,4,11,November,1,2,Tuesday,44,False
2011-11-02,20111102,2011,4,11,November,2,3,Wednesday,44,False
2011-11-03,20111103,2011,4,11,November,3,4,Thursday,44,False
2011-11-04,20111104,2011,4,11,November,4,5,Friday,44,False
2011-11-05,20111105,2011,4,11,November,5,6,Saturday,44,True
2011-11-06,20111106,2011,4,11,November,6,7,Sunday,44,True
2011-11-07,20111107,2011,4,11,November,7,1,Monday,45,False
2011-11-08,20111108,2011,4,11,November,8,2,Tuesday,45,False
2011-11-09,20111109,2011,4,11,November,9,3,Wednesday,45,False
2011-11-10,20111110,2011,4,11,November,10,4,Thursday,45,False
2011-11-11,20111111,2011,4,11,November,11,5,Friday,45,False
2011-11-12,20111112,2011,4,11,November,12,6,Saturday,45,True
2011-11-13,20111113,2011,4,11,November,13,7,Sunday,45,True
2011-11-14,20111114,2011,4,11,November,14,1,Monday,46,False
2011-11-15,20111115,2011,4,11,November,15,2,Tuesday,46,False
2011-11-16,20111116,2011,4,11,November,16,3,Wednesday,46,False
2011-11-17,20111117,2011,4,11,November,17,4,Thursday,46,False
2011-11-18,20111118,2011,4,11,November,18,5,Friday,46,False
2011-11-19,20111119,2011,4,11,November,19,6,Saturday,46,True
2011-11-20,20111120,2011,4,11,November,20,7,Sunday,46,True
2011-11-21,20111121,2011,4,11,November,21,1,Monday,47,False
2011-11-22,20111122,2011,4,11,November,22,2,Tuesday,47,False
2011-11-23,20111123,2011,4,11,November,23,3,Wednesday,47,False
2011-11-24,20111124,2011,4,11,November,24,4,Thursday,47,False
2011-11-25,20111125,2011,4,11,November,25,5,Friday,47,False
2011-11-26,20111126,2011,4,11,November,26,6,Saturday,47,True
2011-11-27,20111127,2011,4,11,November,27,7,Sunday,47,True
2011-11-28,20111128,2011,4,11,November,28,1,Monday,48,False
2011-11-29,20111129,2011,4,11,November,29,2,Tuesday,48,False
2011-11-30,20111130,2011,4,11,November,30,3,Wednesday,48,False
2011-12-01,20111201,2011,4,12,December,1,4,Thursday,48,False
2011-12-02,20111202,2011,4,12,December,2,5,Friday,48,False
2011-12-03,20111203,2011,4,12,December,3,6,Saturday,48,True
2011-12-04,20111204,2011,4,12,December,4,7,Sunday,48,True
2011-12-05,20111205,2011,4,12,December,5,1,Monday,49,False
2011-12-06,20111206,2011,4,12,December,6,2,Tuesday,49,False
2011-12-07,20111207,2011,4,12,December,7,3,Wednesday,49,False
2011-12-08,20111208,2011,4,12,December,8,4,Thursday,49,False
2011-12-09,20111209,2011,4,12,December,9,5,Friday,49,False
2011-12-10,20111210,2011,4,12,December,10,6,Saturday,49,True
2011-12-11,20111211,2011,4,12,December,11,7,Sunday,49,True
2011-12-12,20111212,2011,4,12,December,12,1,Monday,50,False
2011-12-13,20111213,2011,4,12,December,13,2,Tuesday,50,False
2011-12-14,20111214,2011,4,12,December,14,3,Wednesday,50,False
2011-12-15,20111215,2011,4,12,December,15,4,Thursday,50,False
2011-12-16,20111216,2011,4,12,December,16,5,Friday,50,False
2011-12-17,20111217,2011,4,12,December,17,6,Saturday,50,True
2011-12-18,20111218,2011,4,12,December,18,7,Sunday,50,True
2011-12-19,20111219,2011,4,12,December,19,1,Monday,51,False
2011-12-20,20111220,2011,4,12,December,20,2,Tuesday,51,False
2011-12-21,20111221,2011,4,12,December,21,3,Wednesday,51,False
2011-12-22,20111222,2011,4,12,December,22,4,Thursday,51,False
2011-12-23,20111223,2011,4,12,December,23,5,Friday,51,False
2011-12-24,20111224,2011,4,12,December,24,6,Saturday,51,True
2011-12-25,20111225,2011,4,12,December,25,7,Sunday,51,True
2011-12-26,20111226,2011,4,12,December,26,1,Monday,52,False
2011-12-27,20111227,2011,4,12,December,27,2,Tuesday,52,False
2011-12-28,20111228,2011,4,12,December,28,3,Wednesday,52,False
2011-12-29,20111229,2011,4,12,December,29,4,Thursday,52,False
2011-12-30,20111230,2011,4,12,December,30,5,Friday,52,False
2011-12-31,20111231,2011,4,12,December,31,6,Saturday,52,True
2012-01-01,20120101,2012,1,1,January,1,7,Sunday,52,True
2012-01-02,20120102,2012,1,1,January,2,1,Monday,1,False
2012-01-03,20120103,2012,1,1,January,3,2,Tuesday,1,False
2012-01-04,20120104,2012,1,1,January,4,3,Wednesday,1,False
2012-01-05,20120105,2012,1,1,January,5,4,Thursday,1,False
2012-01-06,20120106,2012,1,1,January,6,5,Friday,1,False
2012-01-07,20120107,2012,1,1,January,7,6,Saturday,1,True
2012-01-08,20120108,2012,1,1,January,8,7,Sunday,1,True
2012-01-09,20120109,2012,1,1,January,9,1,Monday,2,False
2012-01-10,20120110,2012,1,1,January,10,2,Tuesday,2,False
2012-01-11,20120111,2012,1,1,January,11,3,Wednesday,2,False
2012-01-12,20120112,2012,1,1,January,12,4,Thursday,2,False
2012-01-13,20120113,2012,1,1,January,13,5,Friday,2,False
2012-01-14,20120114,2012,1,1,January,14,6,Saturday,2,True
2012-01-15,20120115,2012,1,1,January,15,7,Sunday,2,True
2012-01-16,20120116,2012,1,1,January,16,1,Monday,3,False
2012-01-17,20120117,2012,1,1,January,17,2,Tuesday,3,False
2012-01-18,20120118,2012,1,1,January,18,3,Wednesday,3,False
2012-01-19,20120119,2012,1,1,January,19,4,Thursday,3,False
2012-01-20,20120120,2012,1,1,January,20,5,Friday,3,False
2012-01-21,20120121,2012,1,1,January,21,6,Saturday,3,True
2012-01-22,20120122,2012,1,1,January,22,7,Sunday,3,True
2012-01-23,20120123,2012,1,1,January,23,1,Monday,4,False
2012-01-24,20120124,2012,1,1,January,24,2,Tuesday,4,False
2012-01-25,20120125,2012,1,1,January,25,3,Wednesday,4,False
2012-01-26,20120126,2012,1,1,January,26,4,Thursday,4,False
2012-01-27,20120127,2012,1,1,January,27,5,Friday,4,False
2012-01-28,20120128,2012,1,1,January,28,6,Saturday,4,True
2012-01-29,20120129,2012,1,1,January,29,7,Sunday,4,True
2012-01-30,20120130,2012,1,1,January,30,1,Monday,5,False
2012-01-31,20120131,2012,1,1,January,31,2,Tuesday,5,False
2012-02-01,20120201,2012,1,2,February,1,3,Wednesday,5,False
2012-02-02,20120202,2012,1,2,February,2,4,Thursday,5,False
2012-02-03,20120203,2012,1,2,February,3,5,Friday,5,False
2012-02-04,20120204,2012,1,2,February,4,6,Saturday,5,True
2012-02-05,20120205,2012,1,2,February,5,7,Sunday,5,True
2012-02-06,20120206,2012,1,2,February,6,1,Monday,6,False
2012-02-07,20120207,2012,1,2,February,7,2,Tuesday,6,False
2012-02-08,20120208,2012,1,2,February,8,3,Wednesday,6,False
2012-02-09,20120209,2012,1,2,February,9,4,Thursday,6,False
2012-02-10,20120210,2012,1,2,February,10,5,Friday,6,False
2012-02-11,20120211,2012,1,2,February,11,6,Saturday,6,True
2012-02-12,20120212,2012,1,2,February,12,7,Sunday,6,True
2012-02-13,20120213,2012,1,2,February,13,1,Monday,7,False
2012-02-14,20120214,2012,1,2,February,14,2,Tuesday,7,False
2012-02-15,20120215,2012,1,2,February,15,3,Wednesday,7,False
