sales_sk,order_number,customer_sk,product_sk,geography_sk,order_date_key,ship_date_key,due_date_key,sales_amount,quantity,price
25,SO43721,14388,101,3.0,20110103,20110110,20110115,3578.0,1,3578.0
26,SO43722,14397,103,3.0,20110104,20110111,20110116,3578.0,1,3578.0
27,SO43723,16591,124,4.0,20110104,20110111,20110116,699.0,1,699.0
28,SO43724,10746,102,6.0,20110104,20110111,20110116,3578.0,1,3578.0
29,SO43725,15387,102,2.0,20110105,20110112,20110117,3578.0,1,3578.0
30,SO43726,15767,124,4.0,20110105,20110112,20110117,699.0,1,699.0
31,SO43727,10820,102,6.0,20110105,20110112,20110117,3578.0,1,3578.0
32,SO43728,608,104,4.0,20110106,20110113,20110118,3578.0,1,3578.0
33,SO43729,17318,137,3.0,20110106,20110113,20110118,3400.0,1,3400.0
34,SO43730,2439,137,4.0,20110106,20110113,20110118,3400.0,1,3400.0
35,SO43731,10853,105,6.0,20110106,20110113,20110118,3578.0,1,3578.0
36,SO43732,18345,141,6.0,20110106,20110113,20110118,3375.0,1,3375.0
37,SO43733,3228,103,4.0,20110106,20110113,20110118,3578.0,1,3578.0
38,SO43734,3193,103,4.0,20110107,20110114,20110119,3578.0,1,3578.0
39,SO43735,10745,101,6.0,20110107,20110114,20110119,3578.0,1,3578.0
40,SO43736,18470,137,6.0,20110107,20110114,20110119,3400.0,1,3400.0
41,SO43737,15363,102,2.0,20110108,20110115,20110120,3578.0,1,3578.0
42,SO43738,16920,103,1.0,20110108,20110115,20110120,3578.0,1,3578.0
43,SO43739,14455,101,3.0,20110108,20110115,20110120,3578.0,1,3578.0
44,SO43740,10739,103,6.0,20110108,20110115,20110120,3578.0,1,3578.0
45,SO43741,613,101,4.0,20110109,20110116,20110121,3578.0,1,3578.0
46,SO43742,14402,105,3.0,20110109,20110116,20110121,3578.0,1,3578.0
47,SO43743,18475,138,6.0,20110109,20110116,20110121,3400.0,1,3400.0
48,SO43744,10851,104,6.0,20110109,20110116,20110121,3578.0,1,3578.0
49,SO43745,10752,102,6.0,20110110,20110117,20110122,3578.0,1,3578.0
50,SO43746,10865,103,6.0,20110110,20110117,20110122,3578.0,1,3578.0
51,SO43747,624,105,4.0,20110111,20110118,20110123,3578.0,1,3578.0
52,SO43748,626,104,4.0,20110111,20110118,20110123,3578.0,1,3578.0
53,SO43749,637,105,4.0,20110111,20110118,20110123,3578.0,1,3578.0
54,SO43750,16905,102,1.0,20110111,20110118,20110123,3578.0,1,3578.0
55,SO43751,16906,104,1.0,20110111,20110118,20110123,3578.0,1,3578.0
56,SO43752,15341,102,2.0,20110111,20110118,20110123,3578.0,1,3578.0
57,SO43753,10715,101,6.0,20110111,20110118,20110123,3578.0,1,3578.0
58,SO43754,1867,103,4.0,20110112,20110119,20110124,3578.0,1,3578.0
59,SO43755,612,102,4.0,20110112,20110119,20110124,3578.0,1,3578.0
60,SO43756,10157,124,3.0,20110112,20110119,20110124,699.0,1,699.0
61,SO43757,18353,141,6.0,20110112,20110119,20110124,3375.0,1,3375.0
62,SO43758,619,101,4.0,20110113,20110120,20110125,3578.0,1,3578.0
63,SO43759,15388,101,2.0,20110113,20110120,20110125,3578.0,1,3578.0
64,SO43760,11129,105,6.0,20110113,20110120,20110125,3578.0,1,3578.0
65,SO43761,10721,101,6.0,20110113,20110120,20110125,3578.0,1,3578.0
66,SO43762,3229,105,4.0,20110114,20110121,20110126,3578.0,1,3578.0
67,SO43763,10740,104,6.0,20110114,20110121,20110126,3578.0,1,3578.0
68,SO43764,10845,101,6.0,20110114,20110121,20110126,3578.0,1,3578.0
69,SO43765,18478,137,6.0,20110114,20110121,20110126,3400.0,1,3400.0
70,SO43766,10748,104,6.0,20110115,20110122,20110127,3578.0,1,3578.0
71,SO43767,18476,141,6.0,20110115,20110122,20110127,3375.0,1,3375.0
72,SO43768,591,103,4.0,20110116,20110123,20110128,3578.0,1,3578.0
73,SO43769,4322,103,5.0,20110116,20110123,20110128,3578.0,1,3578.0
74,SO43770,1870,103,4.0,20110116,20110123,20110128,3578.0,1,3578.0
75,SO43771,15768,122,4.0,20110116,20110123,20110128,699.0,1,699.0
76,SO43772,10743,103,6.0,20110116,20110123,20110128,3578.0,1,3578.0
77,SO43773,10738,105,6.0,20110116,20110123,20110128,3578.0,1,3578.0
78,SO43774,11133,104,6.0,20110116,20110123,20110128,3578.0,1,3578.0
79,SO43775,18343,138,6.0,20110116,20110123,20110128,3400.0,1,3400.0
80,SO43776,15374,105,2.0,20110117,20110124,20110129,3578.0,1,3578.0
81,SO43777,10751,102,6.0,20110117,20110124,20110129,3578.0,1,3578.0
82,SO43778,18352,136,6.0,20110117,20110124,20110129,3400.0,1,3400.0
83,SO43779,7747,118,6.0,20110117,20110124,20110129,699.0,1,699.0
84,SO43780,16903,102,1.0,20110118,20110125,20110130,3578.0,1,3578.0
85,SO43781,10711,103,6.0,20110118,20110125,20110130,3578.0,1,3578.0
86,SO43782,10750,103,6.0,20110118,20110125,20110130,3578.0,1,3578.0
87,SO43783,10862,103,6.0,20110118,20110125,20110130,3578.0,1,3578.0
88,SO43784,609,101,4.0,20110119,20110126,20110131,3578.0,1,3578.0
89,SO43785,16915,102,1.0,20110119,20110126,20110131,3578.0,1,3578.0
90,SO43786,16921,102,1.0,20110119,20110126,20110131,3578.0,1,3578.0
91,SO43787,1218,135,2.0,20110119,20110126,20110131,3400.0,1,3400.0
92,SO43788,17297,142,3.0,20110119,20110126,20110131,3375.0,1,3375.0
93,SO43789,2443,142,4.0,20110119,20110126,20110131,3375.0,1,3375.0
94,SO43790,2435,135,4.0,20110119,20110126,20110131,3400.0,1,3400.0
95,SO43791,10730,105,6.0,20110119,20110126,20110131,3578.0,1,3578.0
96,SO43792,10859,103,6.0,20110119,20110126,20110131,3578.0,1,3578.0
97,SO43793,18484,135,6.0,20110119,20110126,20110131,3400.0,1,3400.0
98,SO43794,18341,138,6.0,20110119,20110126,20110131,3400.0,1,3400.0
99,SO43795,1869,103,4.0,20110120,20110127,20110201,3578.0,1,3578.0
100,SO43796,12732,134,1.0,20110120,20110127,20110201,699.0,1,699.0
101,SO43797,11125,103,6.0,20110120,20110127,20110201,3578.0,1,3578.0
102,SO43798,10735,101,6.0,20110120,20110127,20110201,3578.0,1,3578.0
103,SO43799,11136,103,6.0,20110120,20110127,20110201,3578.0,1,3578.0
104,SO43800,4203,102,5.0,20110121,20110128,20110202,3578.0,1,3578.0
105,SO43801,14394,102,3.0,20110121,20110128,20110202,3578.0,1,3578.0
106,SO43802,16907,103,1.0,20110121,20110128,20110202,3578.0,1,3578.0
107,SO43803,4252,105,5.0,20110122,20110129,20110203,3578.0,1,3578.0
108,SO43804,14393,101,3.0,20110122,20110129,20110203,3578.0,1,3578.0
109,SO43805,16640,120,4.0,20110122,20110129,20110203,699.0,1,699.0
110,SO43806,10744,103,6.0,20110122,20110129,20110203,3578.0,1,3578.0
111,SO43807,16948,103,1.0,20110123,20110130,20110204,3578.0,1,3578.0
112,SO43808,15386,104,2.0,20110123,20110130,20110204,3578.0,1,3578.0
113,SO43809,11131,101,6.0,20110123,20110130,20110204,3578.0,1,3578.0
114,SO43810,18472,136,6.0,20110123,20110130,20110204,3400.0,1,3400.0
115,SO43811,18344,137,6.0,20110123,20110130,20110204,3400.0,1,3400.0
116,SO43812,603,103,4.0,20110124,20110131,20110205,3578.0,1,3578.0
117,SO43813,455,141,1.0,20110124,20110131,20110205,3375.0,1,3375.0
118,SO43814,2444,141,4.0,20110124,20110131,20110205,3375.0,1,3375.0
119,SO43815,10714,102,6.0,20110124,20110131,20110205,3578.0,1,3578.0
120,SO43816,10712,105,6.0,20110124,20110131,20110205,3578.0,1,3578.0
121,SO43817,10747,101,6.0,20110124,20110131,20110205,3578.0,1,3578.0
122,SO43818,10742,103,6.0,20110124,20110131,20110205,3578.0,1,3578.0
123,SO43819,18474,137,6.0,20110124,20110131,20110205,3400.0,1,3400.0
124,SO43820,593,103,4.0,20110125,20110201,20110206,3578.0,1,3578.0
125,SO43821,605,101,4.0,20110125,20110201,20110206,3578.0,1,3578.0
126,SO43822,611,104,4.0,20110125,20110201,20110206,3578.0,1,3578.0
127,SO43823,10158,134,3.0,20110125,20110201,20110206,699.0,1,699.0
128,SO43824,15769,130,4.0,20110125,20110201,20110206,699.0,1,699.0
129,SO43825,11132,104,6.0,20110125,20110201,20110206,3578.0,1,3578.0
130,SO43826,18469,139,6.0,20110125,20110201,20110206,3375.0,1,3375.0
131,SO43827,7744,130,6.0,20110125,20110201,20110206,699.0,1,699.0
132,SO43828,3194,101,4.0,20110126,20110202,20110207,3578.0,1,3578.0
133,SO43829,1873,101,4.0,20110126,20110202,20110207,3578.0,1,3578.0
134,SO43830,11134,102,6.0,20110126,20110202,20110207,3578.0,1,3578.0
135,SO43831,18342,140,6.0,20110126,20110202,20110207,3375.0,1,3375.0
136,SO43832,14386,101,3.0,20110126,20110202,20110207,3578.0,1,3578.0
137,SO43833,4262,101,5.0,20110127,20110203,20110208,3578.0,1,3578.0
138,SO43834,458,139,1.0,20110127,20110203,20110208,3375.0,1,3375.0
139,SO43835,10571,139,5.0,20110127,20110203,20110208,3375.0,1,3375.0
140,SO43836,2208,116,5.0,20110127,20110203,20110208,699.0,1,699.0
141,SO43837,18477,141,6.0,20110127,20110203,20110208,3375.0,1,3375.0
142,SO43838,642,104,4.0,20110128,20110204,20110209,3578.0,1,3578.0
143,SO43839,615,102,4.0,20110128,20110204,20110209,3578.0,1,3578.0
144,SO43840,12731,118,1.0,20110128,20110204,20110209,699.0,1,699.0
145,SO43841,14614,105,2.0,20110128,20110204,20110209,3578.0,1,3578.0
146,SO43842,10852,103,6.0,20110128,20110204,20110209,3578.0,1,3578.0
147,SO43918,3856,104,5.0,20110129,20110205,20110210,3578.0,1,3578.0
148,SO43919,18226,105,1.0,20110129,20110205,20110210,3578.0,1,3578.0
149,SO43920,774,104,4.0,20110129,20110205,20110210,3578.0,1,3578.0
150,SO43921,11457,104,6.0,20110129,20110205,20110210,3578.0,1,3578.0
151,SO43922,14433,101,2.0,20110129,20110205,20110210,3578.0,1,3578.0
152,SO43923,727,103,4.0,20110130,20110206,20110211,3578.0,1,3578.0
153,SO43924,18234,101,1.0,20110130,20110206,20110211,3578.0,1,3578.0
154,SO43925,11409,105,6.0,20110130,20110206,20110211,3578.0,1,3578.0
155,SO43926,18361,142,6.0,20110131,20110207,20110212,3375.0,1,3375.0
156,SO43927,11408,105,6.0,20110131,20110207,20110212,3578.0,1,3578.0
157,SO43928,11383,104,6.0,20110131,20110207,20110212,3578.0,1,3578.0
158,SO43929,7806,114,6.0,20110131,20110207,20110212,699.0,1,699.0
159,SO43930,805,103,4.0,20110201,20110208,20110213,3578.0,1,3578.0
160,SO43931,14431,104,2.0,20110201,20110208,20110213,3578.0,1,3578.0
161,SO43932,11382,105,6.0,20110201,20110208,20110213,3578.0,1,3578.0
162,SO43933,18339,138,6.0,20110201,20110208,20110213,3400.0,1,3400.0
163,SO43934,18336,137,6.0,20110201,20110208,20110213,3400.0,1,3400.0
164,SO43935,10033,126,3.0,20110202,20110209,20110214,699.0,1,699.0
165,SO43936,773,102,4.0,20110202,20110209,20110214,3578.0,1,3578.0
166,SO43937,11290,103,6.0,20110202,20110209,20110214,3578.0,1,3578.0
167,SO43938,11437,101,6.0,20110202,20110209,20110214,3578.0,1,3578.0
168,SO43939,11411,103,6.0,20110202,20110209,20110214,3578.0,1,3578.0
169,SO43940,7558,128,6.0,20110202,20110209,20110214,699.0,1,699.0
170,SO43941,14418,105,3.0,20110203,20110210,20110215,3578.0,1,3578.0
171,SO43942,11286,101,6.0,20110203,20110210,20110215,3578.0,1,3578.0
172,SO43943,15762,130,4.0,20110203,20110210,20110215,699.0,1,699.0
173,SO43944,18362,135,6.0,20110203,20110210,20110215,3400.0,1,3400.0
174,SO43945,11448,101,6.0,20110203,20110210,20110215,3578.0,1,3578.0
175,SO43946,11436,104,6.0,20110203,20110210,20110215,3578.0,1,3578.0
176,SO43947,11357,101,6.0,20110203,20110210,20110215,3578.0,1,3578.0
177,SO43948,18369,136,6.0,20110203,20110210,20110215,3400.0,1,3400.0
178,SO43949,668,101,4.0,20110204,20110211,20110216,3578.0,1,3578.0
179,SO43950,723,102,4.0,20110204,20110211,20110216,3578.0,1,3578.0
180,SO43951,11373,102,6.0,20110204,20110211,20110216,3578.0,1,3578.0
181,SO43952,11352,103,6.0,20110204,20110211,20110216,3578.0,1,3578.0
182,SO43953,10034,134,3.0,20110205,20110212,20110217,699.0,1,699.0
183,SO43954,14416,102,3.0,20110205,20110212,20110217,3578.0,1,3578.0
184,SO43955,14788,105,3.0,20110205,20110212,20110217,3578.0,1,3578.0
185,SO43956,18340,135,6.0,20110205,20110212,20110217,3400.0,1,3400.0
186,SO43957,776,104,4.0,20110206,20110213,20110218,3578.0,1,3578.0
187,SO43958,11412,103,6.0,20110206,20110213,20110218,3578.0,1,3578.0
188,SO43959,18355,139,6.0,20110206,20110213,20110218,3375.0,1,3375.0
189,SO43960,18370,140,6.0,20110206,20110213,20110218,3375.0,1,3375.0
190,SO43961,798,102,4.0,20110207,20110214,20110219,3578.0,1,3578.0
191,SO43962,784,103,4.0,20110207,20110214,20110219,3578.0,1,3578.0
192,SO43963,11438,105,6.0,20110207,20110214,20110219,3578.0,1,3578.0
193,SO43964,11458,103,6.0,20110207,20110214,20110219,3578.0,1,3578.0
194,SO43965,18358,142,6.0,20110207,20110214,20110219,3375.0,1,3375.0
195,SO43966,18377,138,6.0,20110207,20110214,20110219,3400.0,1,3400.0
196,SO43967,807,104,4.0,20110208,20110215,20110220,3578.0,1,3578.0
197,SO43968,775,104,4.0,20110208,20110215,20110220,3578.0,1,3578.0
198,SO43969,779,101,4.0,20110208,20110215,20110220,3578.0,1,3578.0
199,SO43970,11439,102,6.0,20110208,20110215,20110220,3578.0,1,3578.0
200,SO43971,11413,105,6.0,20110208,20110215,20110220,3578.0,1,3578.0
201,SO43972,3970,105,5.0,20110209,20110216,20110221,3578.0,1,3578.0
202,SO43973,806,103,4.0,20110209,20110216,20110221,3578.0,1,3578.0
203,SO43974,14801,103,3.0,20110209,20110216,20110221,3578.0,1,3578.0
204,SO43975,14439,103,2.0,20110209,20110216,20110221,3578.0,1,3578.0
205,SO43976,771,101,4.0,20110209,20110216,20110221,3578.0,1,3578.0
206,SO43977,11366,103,6.0,20110209,20110216,20110221,3578.0,1,3578.0
207,SO43978,797,101,4.0,20110210,20110217,20110222,3578.0,1,3578.0
208,SO43979,15790,114,4.0,20110210,20110217,20110222,699.0,1,699.0
209,SO43980,18368,142,6.0,20110210,20110217,20110222,3375.0,1,3375.0
210,SO43981,11432,105,6.0,20110210,20110217,20110222,3578.0,1,3578.0
211,SO43982,7807,134,6.0,20110210,20110217,20110222,699.0,1,699.0
212,SO43983,726,105,4.0,20110211,20110218,20110223,3578.0,1,3578.0
213,SO43984,14426,102,2.0,20110211,20110218,20110223,3578.0,1,3578.0
214,SO43985,14324,104,2.0,20110211,20110218,20110223,3578.0,1,3578.0
215,SO43986,778,101,4.0,20110211,20110218,20110223,3578.0,1,3578.0
216,SO43987,809,101,4.0,20110212,20110219,20110224,3578.0,1,3578.0
217,SO43988,17347,135,3.0,20110212,20110219,20110224,3400.0,1,3400.0
218,SO43989,471,103,4.0,20110212,20110219,20110224,3578.0,1,3578.0
219,SO43990,2450,135,4.0,20110212,20110219,20110224,3400.0,1,3400.0
220,SO43991,11410,101,6.0,20110212,20110219,20110224,3578.0,1,3578.0
221,SO43992,11138,102,6.0,20110212,20110219,20110224,3578.0,1,3578.0
222,SO43993,11140,105,6.0,20110214,20110221,20110226,3578.0,1,3578.0
223,SO43994,681,105,4.0,20110215,20110222,20110227,3578.0,1,3578.0
224,SO43995,4516,103,5.0,20110215,20110222,20110227,3578.0,1,3578.0
225,SO43996,920,101,4.0,20110215,20110222,20110227,3578.0,1,3578.0
226,SO43997,731,101,4.0,20110215,20110222,20110227,3578.0,1,3578.0
227,SO43998,18337,139,6.0,20110215,20110222,20110227,3375.0,1,3375.0
228,SO43999,814,102,4.0,20110215,20110222,20110227,3578.0,1,3578.0
229,SO44000,918,102,4.0,20110216,20110223,20110228,3578.0,1,3578.0
230,SO44001,811,104,4.0,20110216,20110223,20110228,3578.0,1,3578.0
231,SO44002,15774,128,4.0,20110216,20110223,20110228,699.0,1,699.0
232,SO44003,9424,134,2.0,20110216,20110223,20110228,699.0,1,699.0
233,SO44004,769,101,4.0,20110216,20110223,20110228,3578.0,1,3578.0
234,SO44005,3516,126,5.0,20110216,20110223,20110228,699.0,1,699.0
235,SO44006,11379,101,6.0,20110216,20110223,20110228,3578.0,1,3578.0
236,SO44007,7418,112,6.0,20110216,20110223,20110228,699.0,1,699.0
237,SO44008,677,103,4.0,20110217,20110224,20110301,3578.0,1,3578.0
238,SO44009,526,105,4.0,20110217,20110224,20110301,3578.0,1,3578.0
239,SO44010,14808,101,3.0,20110217,20110224,20110301,3578.0,1,3578.0
240,SO44011,14325,101,2.0,20110217,20110224,20110301,3578.0,1,3578.0
241,SO44012,18364,140,6.0,20110217,20110224,20110301,3375.0,1,3375.0
242,SO44013,11141,103,6.0,20110217,20110224,20110301,3578.0,1,3578.0
243,SO44014,917,104,4.0,20110218,20110225,20110302,3578.0,1,3578.0
244,SO44015,14894,102,3.0,20110218,20110225,20110302,3578.0,1,3578.0
245,SO44016,17350,141,3.0,20110218,20110225,20110302,3375.0,1,3375.0
246,SO44017,786,101,4.0,20110218,20110225,20110302,3578.0,1,3578.0
247,SO44018,2454,141,4.0,20110218,20110225,20110302,3375.0,1,3375.0
248,SO44019,11368,101,6.0,20110218,20110225,20110302,3578.0,1,3578.0
249,SO44020,11139,102,6.0,20110218,20110225,20110302,3578.0,1,3578.0
250,SO44021,18338,139,6.0,20110218,20110225,20110302,3375.0,1,3375.0
251,SO44022,3995,104,5.0,20110219,20110226,20110303,3578.0,1,3578.0
252,SO44023,10554,140,5.0,20110219,20110226,20110303,3375.0,1,3375.0
253,SO44024,11431,105,6.0,20110219,20110226,20110303,3578.0,1,3578.0
254,SO44025,11361,105,6.0,20110219,20110226,20110303,3578.0,1,3578.0
255,SO44026,11292,101,6.0,20110219,20110226,20110303,3578.0,1,3578.0
256,SO44027,4414,101,5.0,20110220,20110227,20110304,3578.0,1,3578.0
257,SO44028,11289,103,6.0,20110220,20110227,20110304,3578.0,1,3578.0
258,SO44029,18366,141,6.0,20110220,20110227,20110304,3375.0,1,3375.0
259,SO44030,18233,102,1.0,20110221,20110228,20110305,3578.0,1,3578.0
260,SO44031,14799,104,3.0,20110221,20110228,20110305,3578.0,1,3578.0
261,SO44032,17346,135,3.0,20110221,20110228,20110305,3400.0,1,3400.0
262,SO44033,11376,105,6.0,20110221,20110228,20110305,3578.0,1,3578.0
263,SO44034,11367,104,6.0,20110221,20110228,20110305,3578.0,1,3578.0
264,SO44035,11362,103,6.0,20110221,20110228,20110305,3578.0,1,3578.0
265,SO44036,11291,101,6.0,20110221,20110228,20110305,3578.0,1,3578.0
266,SO44037,7790,120,6.0,20110221,20110228,20110305,699.0,1,699.0
267,SO44038,2446,135,4.0,20110221,20110228,20110305,3400.0,1,3400.0
268,SO44039,12690,134,1.0,20110222,20110301,20110306,699.0,1,699.0
269,SO44040,18359,142,6.0,20110222,20110301,20110306,3375.0,1,3375.0
270,SO44041,11381,104,6.0,20110222,20110301,20110306,3578.0,1,3578.0
271,SO44042,14810,104,3.0,20110223,20110302,20110307,3578.0,1,3578.0
272,SO44043,14809,102,3.0,20110223,20110302,20110307,3578.0,1,3578.0
273,SO44044,14853,105,3.0,20110223,20110302,20110307,3578.0,1,3578.0
274,SO44045,459,135,1.0,20110223,20110302,20110307,3400.0,1,3400.0
275,SO44046,772,104,4.0,20110223,20110302,20110307,3578.0,1,3578.0
276,SO44047,2456,135,4.0,20110223,20110302,20110307,3400.0,1,3400.0
277,SO44048,11356,105,6.0,20110223,20110302,20110307,3578.0,1,3578.0
278,SO44049,14441,105,2.0,20110224,20110303,20110308,3578.0,1,3578.0
279,SO44050,11287,101,6.0,20110224,20110303,20110308,3578.0,1,3578.0
280,SO44051,14816,101,3.0,20110225,20110304,20110309,3578.0,1,3578.0
281,SO44052,11001,105,6.0,20110225,20110304,20110309,3578.0,1,3578.0
282,SO44053,9543,130,2.0,20110226,20110305,20110310,699.0,1,699.0
283,SO44054,14437,105,2.0,20110226,20110305,20110310,3578.0,1,3578.0
284,SO44055,14436,101,2.0,20110226,20110305,20110310,3578.0,1,3578.0
285,SO44056,14459,105,2.0,20110226,20110305,20110310,3578.0,1,3578.0
286,SO44057,15789,130,4.0,20110226,20110305,20110310,699.0,1,699.0
287,SO44058,18360,141,6.0,20110226,20110305,20110310,3375.0,1,3375.0
288,SO44059,11435,104,6.0,20110226,20110305,20110310,3578.0,1,3578.0
289,SO44060,7788,134,6.0,20110226,20110305,20110310,699.0,1,699.0
290,SO44061,919,101,4.0,20110227,20110306,20110311,3578.0,1,3578.0
291,SO44062,808,101,4.0,20110227,20110306,20110311,3578.0,1,3578.0
292,SO44063,17319,135,3.0,20110227,20110306,20110311,3400.0,1,3400.0
293,SO44064,3869,101,5.0,20110227,20110306,20110311,3578.0,1,3578.0
294,SO44065,770,101,4.0,20110227,20110306,20110311,3578.0,1,3578.0
295,SO44066,2445,135,4.0,20110227,20110306,20110311,3400.0,1,3400.0
296,SO44067,11288,101,6.0,20110227,20110306,20110311,3578.0,1,3578.0
297,SO44068,14438,104,2.0,20110228,20110307,20110312,3578.0,1,3578.0
298,SO44069,460,140,1.0,20110228,20110307,20110312,3375.0,1,3375.0
299,SO44070,10575,140,5.0,20110228,20110307,20110312,3375.0,1,3375.0
300,SO44071,11405,104,6.0,20110228,20110307,20110312,3578.0,1,3578.0
301,SO44072,11414,102,6.0,20110228,20110307,20110312,3578.0,1,3578.0
302,SO44073,18372,142,6.0,20110228,20110307,20110312,3375.0,1,3375.0
303,SO44134,14627,101,3.0,20110301,20110308,20110313,3578.0,1,3578.0
304,SO44135,221,101,4.0,20110301,20110308,20110313,3578.0,1,3578.0
305,SO44136,4144,102,5.0,20110301,20110308,20110313,3578.0,1,3578.0
306,SO44137,13361,105,6.0,20110301,20110308,20110313,3578.0,1,3578.0
307,SO44138,14879,101,3.0,20110302,20110309,20110314,3578.0,1,3578.0
308,SO44139,14696,102,3.0,20110302,20110309,20110314,3578.0,1,3578.0
309,SO44140,18137,102,1.0,20110302,20110309,20110314,3578.0,1,3578.0
310,SO44141,14435,104,2.0,20110302,20110309,20110314,3578.0,1,3578.0
311,SO44142,3919,104,5.0,20110302,20110309,20110314,3578.0,1,3578.0
312,SO44143,181,104,4.0,20110302,20110309,20110314,3578.0,1,3578.0
313,SO44144,13564,103,6.0,20110302,20110309,20110314,3578.0,1,3578.0
314,SO44145,13380,101,6.0,20110302,20110309,20110314,3578.0,1,3578.0
315,SO44146,13379,104,6.0,20110302,20110309,20110314,3578.0,1,3578.0
316,SO44147,13369,101,6.0,20110302,20110309,20110314,3578.0,1,3578.0
317,SO44148,211,101,4.0,20110303,20110310,20110315,3578.0,1,3578.0
318,SO44149,13607,103,6.0,20110303,20110310,20110315,3578.0,1,3578.0
319,SO44150,13374,103,6.0,20110303,20110310,20110315,3578.0,1,3578.0
320,SO44151,7421,120,6.0,20110303,20110310,20110315,699.0,1,699.0
321,SO44152,17228,137,3.0,20110304,20110311,20110316,3400.0,1,3400.0
322,SO44153,233,103,4.0,20110304,20110311,20110316,3578.0,1,3578.0
323,SO44154,188,102,4.0,20110304,20110311,20110316,3578.0,1,3578.0
324,SO44155,138,104,4.0,20110304,20110311,20110316,3578.0,1,3578.0
325,SO44156,2774,137,4.0,20110304,20110311,20110316,3400.0,1,3400.0
326,SO44157,11282,105,6.0,20110304,20110311,20110316,3578.0,1,3578.0
327,SO44158,14451,102,2.0,20110305,20110312,20110317,3578.0,1,3578.0
328,SO44159,189,102,4.0,20110305,20110312,20110317,3578.0,1,3578.0
329,SO44160,193,103,4.0,20110305,20110312,20110317,3578.0,1,3578.0
330,SO44161,14677,105,3.0,20110306,20110313,20110318,3578.0,1,3578.0
331,SO44162,192,102,4.0,20110306,20110313,20110318,3578.0,1,3578.0
332,SO44163,200,105,4.0,20110306,20110313,20110318,3578.0,1,3578.0
333,SO44164,154,101,4.0,20110306,20110313,20110318,3578.0,1,3578.0
334,SO44165,12421,104,6.0,20110306,20110313,20110318,3578.0,1,3578.0
335,SO44166,15785,130,4.0,20110306,20110313,20110318,699.0,1,699.0
336,SO44167,13381,105,6.0,20110306,20110313,20110318,3578.0,1,3578.0
337,SO44168,18225,104,1.0,20110307,20110314,20110319,3578.0,1,3578.0
338,SO44169,186,102,4.0,20110307,20110314,20110319,3578.0,1,3578.0
339,SO44170,190,105,4.0,20110307,20110314,20110319,3578.0,1,3578.0
340,SO44171,178,104,4.0,20110307,20110314,20110319,3578.0,1,3578.0
341,SO44172,15782,130,4.0,20110307,20110314,20110319,699.0,1,699.0
342,SO44173,14665,103,3.0,20110308,20110315,20110320,3578.0,1,3578.0
343,SO44174,13620,102,6.0,20110308,20110315,20110320,3578.0,1,3578.0
344,SO44175,13603,104,6.0,20110308,20110315,20110320,3578.0,1,3578.0
345,SO44176,18136,105,1.0,20110309,20110316,20110321,3578.0,1,3578.0
346,SO44177,17254,141,3.0,20110309,20110316,20110321,3375.0,1,3375.0
347,SO44178,163,103,4.0,20110309,20110316,20110321,3578.0,1,3578.0
348,SO44179,2775,141,4.0,20110309,20110316,20110321,3375.0,1,3375.0
349,SO44180,18357,138,6.0,20110309,20110316,20110321,3400.0,1,3400.0
350,SO44181,13342,103,6.0,20110309,20110316,20110321,3578.0,1,3578.0
